"year","ns_location","pdsi"
1860,"central",1.80172727272727
1861,"central",2.03475757575758
1862,"central",0.918242424242424
1863,"central",0.739939393939394
1864,"central",-0.629393939393939
1865,"central",-0.0658939393939394
1866,"central",0.225621212121212
1867,"central",0.0965151515151515
1868,"central",-1.03636363636364
1869,"central",0.234787878787879
1870,"central",0.576712121212121
1871,"central",0.0506212121212121
1872,"central",1.27524242424242
1873,"central",1.37768181818182
1874,"central",1.15195454545455
1875,"central",1.55221212121212
1876,"central",0.253954545454545
1877,"central",-1.17837878787879
1878,"central",-0.566393939393939
1879,"central",1.87804545454545
1880,"central",0.784121212121212
1881,"central",0.0416363636363636
1882,"central",0.195560606060606
1883,"central",-0.294045454545455
1884,"central",-0.66969696969697
1885,"central",0.845030303030303
1886,"central",1.04463636363636
1887,"central",-0.290030303030303
1888,"central",0.042969696969697
1889,"central",1.5699696969697
1890,"central",0.836409090909091
1891,"central",0.187015151515152
1892,"central",0.164681818181818
1893,"central",0.512621212121212
1894,"central",-0.0173636363636364
1895,"central",-0.233939393939394
1896,"central",-1.05027272727273
1897,"central",-1.04177272727273
1898,"central",-1.15413636363636
1899,"central",-0.551333333333333
1900,"central",0.0638181818181818
1901,"central",-0.810030303030303
1902,"central",-2.03334848484848
1903,"central",0.808333333333333
1904,"central",-0.623015151515152
1905,"central",-0.898530303030303
1906,"central",0.68330303030303
1907,"central",0.345954545454545
1908,"central",-0.164151515151515
1909,"central",0.490045454545455
1910,"central",1.25507575757576
1911,"central",-0.341469696969697
1912,"central",-0.270772727272727
1913,"central",-0.600075757575758
1914,"central",-0.999545454545455
1915,"central",-1.32624242424242
1916,"central",2.54877272727273
1917,"central",2.57434848484848
1918,"central",-1.07662121212121
1919,"central",-1.77087878787879
1920,"central",1.49754545454545
1921,"central",0.619424242424242
1922,"central",-1.02856060606061
1923,"central",-0.358439393939394
1924,"central",0.452909090909091
1925,"central",-0.954045454545455
1926,"central",-0.860106060606061
1927,"central",-0.884878787878788
1928,"central",-1.69945454545455
1929,"central",-1.79963636363636
1930,"central",-0.632909090909091
1860,"north",1.55227083333333
1861,"north",1.65054166666667
1862,"north",0.729729166666667
1863,"north",0.6593125
1864,"north",-0.588416666666667
1865,"north",-0.32775
1866,"north",-0.00950000000000001
1867,"north",-0.0168125
1868,"north",-0.906895833333333
1869,"north",0.202333333333333
1870,"north",0.668375
1871,"north",-0.269
1872,"north",1.08935416666667
1873,"north",1.50935416666667
1874,"north",1.23258333333333
1875,"north",1.54172916666667
1876,"north",0.0240208333333333
1877,"north",-1.47691666666667
1878,"north",-0.420875
1879,"north",1.8519375
1880,"north",0.8034375
1881,"north",0.096
1882,"north",0.178229166666667
1883,"north",-0.140354166666667
1884,"north",-0.647395833333333
1885,"north",0.722125
1886,"north",1.05991666666667
1887,"north",-0.199625
1888,"north",-0.110458333333333
1889,"north",1.6318125
1890,"north",1.0250625
1891,"north",0.1194375
1892,"north",0.158958333333333
1893,"north",0.207333333333333
1894,"north",-0.0369375
1895,"north",-0.306375
1896,"north",-0.9104375
1897,"north",-1.0506875
1898,"north",-1.0674375
1899,"north",-0.4720625
1900,"north",0.132333333333333
1901,"north",-0.811041666666667
1902,"north",-1.98245833333333
1903,"north",0.506
1904,"north",-0.745208333333333
1905,"north",-0.830708333333333
1906,"north",0.815979166666667
1907,"north",0.607083333333333
1908,"north",-0.0252708333333333
1909,"north",0.643416666666667
1910,"north",1.52966666666667
1911,"north",-0.305916666666667
1912,"north",0.0421875
1913,"north",-0.4689375
1914,"north",-1.25285416666667
1915,"north",-1.27541666666667
1916,"north",2.60810416666667
1917,"north",2.34933333333333
1918,"north",-0.968979166666667
1919,"north",-1.92377083333333
1920,"north",1.76808333333333
1921,"north",0.558729166666667
1922,"north",-0.937145833333333
1923,"north",-0.172458333333333
1924,"north",0.655791666666667
1925,"north",-0.865
1926,"north",-0.98275
1927,"north",-0.948270833333333
1928,"north",-1.89860416666667
1929,"north",-2.13739583333333
1930,"north",-0.8820625
1860,"south",1.69773770491803
1861,"south",1.88870491803279
1862,"south",0.89355737704918
1863,"south",0.777803278688525
1864,"south",-0.418360655737705
1865,"south",-0.492672131147541
1866,"south",0.0948688524590164
1867,"south",0.371098360655738
1868,"south",-1.02831147540984
1869,"south",0.253409836065574
1870,"south",0.640344262295082
1871,"south",-4.9180327868854e-05
1872,"south",1.07767213114754
1873,"south",1.35877049180328
1874,"south",1.23822950819672
1875,"south",1.45368852459016
1876,"south",0.0365737704918033
1877,"south",-1.28229508196721
1878,"south",-0.220262295081967
1879,"south",1.8357868852459
1880,"south",0.556754098360656
1881,"south",-0.0457213114754098
1882,"south",0.169885245901639
1883,"south",-0.487147540983607
1884,"south",-0.658819672131148
1885,"south",0.929393442622951
1886,"south",1.14595081967213
1887,"south",-0.380016393442623
1888,"south",0.127409836065574
1889,"south",1.55027868852459
1890,"south",1.1487868852459
1891,"south",0.234786885245902
1892,"south",0.196098360655738
1893,"south",0.194655737704918
1894,"south",-0.0197704918032787
1895,"south",-0.130590163934426
1896,"south",-0.857491803278689
1897,"south",-1.08313114754098
1898,"south",-1.23668852459016
1899,"south",-0.743967213114754
1900,"south",-0.0525245901639344
1901,"south",-0.561032786885246
1902,"south",-2.37065573770492
1903,"south",0.361803278688525
1904,"south",-0.578393442622951
1905,"south",-0.685967213114754
1906,"south",0.737180327868852
1907,"south",0.743131147540984
1908,"south",-0.144098360655738
1909,"south",0.29516393442623
1910,"south",1.30362295081967
1911,"south",-0.0919836065573771
1912,"south",-0.0834590163934426
1913,"south",-0.729475409836066
1914,"south",-0.950639344262295
1915,"south",-0.819950819672131
1916,"south",2.37826229508197
1917,"south",2.12696721311475
1918,"south",-1.01580327868852
1919,"south",-1.86524590163934
1920,"south",1.05329508196721
1921,"south",0.992426229508197
1922,"south",-0.959262295081967
1923,"south",-0.199016393442623
1924,"south",0.846967213114754
1925,"south",-0.897737704918033
1926,"south",-1.24132786885246
1927,"south",-0.960016393442623
1928,"south",-1.62819672131148
1929,"south",-1.84193442622951
1930,"south",-0.418803278688525
