state,measure,1861,1866,1871,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,hectares,"260,600","331,200","455,000","575,600","685,400","802,000","935,500","1,000,900","1,235,400","1,212,400","1,231,600","1,341,400","1,371,500","1,206,000","1,384,700","1,476,300","1,294,600","1,430,000","1,306,600","1,349,600","1,392,500","1,587,300","1,497,200","1,425,000","1,732,500","1,762,800","2,213,200","2,272,100","2,293,200","2,070,400","2,086,600","2,252,600","2,537,300","2,477,800","2,420,900","2,179,100","2,129,700","2,665,400","2,983,600","3,006,000","2,970,300","3,758,500","3,905,700","5,052,300","4,667,200","3,955,700","3,233,500","2,597,800","3,671,400","3,933,200","3,951,300","3,860,900","4,380,800","4,128,400","4,730,000","4,965,600","6,005,100","6,060,300","7,350,400","5,965,000","6,378,800","6,029,100","5,075,800","4,838,200","4,983,900","5,557,600","5,805,000","5,375,300","5,116,300","4,857,200","3,755,200","3,186,400","3,424,300","4,623,000","5,332,300","5,615,300","5,090,700","4,951,700","4,719,200","4,201,800","4,131,400","4,350,200","4,318,800","4,113,800","3,186,600","3,580,400","4,207,900","4,925,300","5,438,200","5,957,500","6,663,700","6,665,500","7,250,700","7,087,400","8,425,700","9,080,700","10,843,800","9,485,000","6,478,000","7,137,400","7,603,800","8,948,000","8,307,300","8,554,800","8,955,900","9,954,600","10,248,800","11,152,200","11,283,100","11,884,700","11,519,700","12,799,500","12,044,800","11,735,600","11,135,200","9,004,800","8,826,800","9,003,900","9,218,100","7,182,900","8,274,600","8,383,200","7,890,700","9,220,700","10,935,600","10,440,600","11,542,500","12,167,500","12,141,400","11,529,200","11,170,300","13,067,100","13,399,400","12,442,700","11,797,900","12,578,300","13,530,200","13,881,000","13,501,800"
Australia,tonnes,"278,700","262,700","328,700","509,000","397,200","535,900","543,900","781,700","635,500","583,400","584,700","971,700","831,400","489,200","809,300","1,038,300","474,100","926,000","737,800","698,600","891,300","1,010,500","757,900","496,800","568,100","768,300","1,126,900","1,087,600","1,315,700","1,049,300","336,700","2,017,700","1,484,000","1,864,500","1,807,400","1,215,000","1,703,100","2,460,100","2,588,000","1,949,200","2,502,800","2,812,100","677,300","4,872,500","4,147,200","3,121,900","2,058,000","1,250,800","3,969,300","3,512,600","2,978,200","3,400,900","4,477,600","3,115,400","4,407,000","3,215,600","4,344,200","3,451,400","5,810,800","5,185,300","5,818,900","4,823,200","3,628,000","3,923,100","4,118,500","5,093,500","4,225,600","5,725,900","2,236,300","4,535,400","4,236,500","2,984,300","1,438,600","3,873,900","3,188,900","5,986,700","5,186,800","5,935,300","5,012,400","4,345,500","5,311,100","5,385,500","4,587,300","5,317,100","3,658,100","2,654,300","5,851,900","5,399,700","7,446,600","6,724,400","8,348,800","8,920,300","10,033,000","7,063,600","12,693,600","7,542,900","14,797,900","10,542,200","7,888,300","8,508,500","6,434,000","11,902,100","11,357,000","11,981,700","11,799,600","9,369,900","18,089,200","16,188,000","10,856,400","16,359,300","8,804,700","20,787,800","18,072,000","16,062,600","16,119,400","12,286,800","13,935,000","14,214,500","15,066,100","10,557,400","14,738,700","16,479,300","8,961,300","16,503,900","22,924,300","19,226,600","21,464,800","24,757,400","22,108,100","24,299,300","10,131,900","26,131,900","21,905,100","25,150,400","10,821,600","13,569,400","21,420,200","21,834,000","27,410,100"
New South Wales,hectares,"52,100","53,300","59,900","54,100","58,900","71,500","94,400","94,400","102,400","89,800","100,100","117,300","111,400","107,200","136,700","157,600","123,400","169,900","134,900","144,300","183,300","240,300","262,000","241,500","350,500","402,000","534,000","577,200","619,400","563,400","517,900","631,800","718,700","784,900","755,200","562,900","564,200","805,400","861,500","963,400","903,100","1,297,200","1,116,100","1,695,200","1,540,500","1,347,400","975,200","596,600","1,265,600","1,293,000","1,190,900","1,191,900","1,436,700","1,183,700","1,356,800","1,226,200","1,655,200","1,608,200","2,078,000","1,490,400","1,944,100","1,855,100","1,575,300","1,558,600","1,611,800","1,806,800","1,882,100","1,772,800","1,802,500","1,606,100","1,227,400","1,089,900","1,151,300","1,527,200","1,810,900","2,040,800","1,634,300","1,623,500","1,347,000","1,114,200","1,093,600","1,358,500","1,181,100","1,188,700","705,100","913,500","1,286,100","1,598,700","1,649,500","1,820,400","2,026,800","2,008,800","2,331,000","1,852,100","2,887,500","3,324,500","4,031,400","3,489,500","2,215,700","2,426,300","2,618,100","2,883,000","2,646,300","2,774,100","3,115,800","3,377,400","3,162,100","3,415,000","3,345,000","3,600,000","3,161,700","3,868,100","3,569,500","3,662,600","3,098,800","2,463,700","2,309,500","2,123,400","2,165,800","1,499,300","1,694,000","1,977,700","1,423,800","2,328,300","3,192,000","2,936,200","3,173,800","3,424,500","3,670,800","3,446,000","2,994,800","3,983,400","4,256,300","3,554,100","3,595,800","4,008,900","4,322,200","3,982,600","3,814,700"
New South Wales,tonnes,"43,000","27,600","27,200","53,300","65,100","66,800","93,600","98,300","101,100","92,600","110,000","118,200","116,200","74,300","159,600","127,700","39,500","178,700","99,300","107,800","185,400","176,900","191,500","141,300","240,800","287,200","252,300","370,000","440,200","403,000","43,100","743,900","448,100","564,400","593,800","249,200","421,400","776,500","759,700","682,800","884,200","1,034,700","349,200","1,817,000","996,000","1,026,400","498,700","119,400","1,513,900","1,163,900","780,200","902,900","1,626,600","920,000","1,293,900","736,000","1,340,600","936,400","1,792,900","1,495,900","2,146,500","1,552,800","1,324,800","1,328,700","1,515,000","1,499,700","1,630,200","2,083,400","651,400","1,320,000","1,406,900","1,292,700","466,300","1,701,500","426,800","2,591,700","1,760,900","2,230,000","1,177,700","1,080,200","1,542,300","1,733,100","1,026,500","1,555,400","775,400","288,600","1,808,200","2,050,900","2,304,000","2,132,300","2,966,600","3,333,200","4,122,700","1,064,600","5,511,200","2,376,500","5,854,600","4,430,300","3,010,200","2,409,800","1,954,100","3,961,500","3,808,700","4,310,500","5,141,000","3,846,200","6,640,400","6,000,000","2,865,000","5,910,000","1,623,200","8,220,800","5,610,200","5,915,500","4,855,200","3,996,900","4,105,300","3,423,300","4,127,600","2,183,000","3,582,700","5,086,100","874,600","4,508,400","8,363,400","5,906,400","6,563,300","8,601,900","7,867,300","8,042,800","2,494,900","7,288,200","7,537,400","8,049,000","2,567,700","2,477,100","6,963,300","5,349,800","10,488,400"
Victoria,hectares,"65,300","72,300","115,000","130,100","162,400","228,500","279,900","286,200","395,500","375,000","392,300","446,900","443,700","412,800","426,000","499,000","492,600","477,000","463,400","539,300","543,300","594,600","555,900","571,700","639,700","670,700","871,800","876,400","816,400","710,000","807,100","796,700","921,700","837,900","822,300","747,500","720,300","848,700","970,500","875,800","843,900","1,038,400","1,158,800","1,489,200","1,264,900","1,088,700","896,200","776,300","929,100","1,056,700","1,070,100","993,100","1,094,800","1,017,200","1,179,800","1,240,000","1,505,000","1,443,200","1,861,600","1,443,100","1,307,500","1,235,500","995,000","940,400","968,700","1,087,000","1,112,200","1,144,200","1,081,600","1,115,800","868,100","725,800","866,700","1,315,800","1,416,900","1,306,000","1,212,300","1,144,600","1,107,000","997,000","903,300","966,900","967,300","866,600","633,400","742,500","732,500","914,900","1,081,200","1,152,900","1,264,600","1,258,200","1,309,600","1,244,000","1,269,900","1,304,700","1,612,300","1,334,800","760,400","1,040,200","1,087,400","1,257,900","1,140,700","1,073,100","1,103,100","1,270,300","1,337,400","1,456,900","1,431,000","1,321,700","1,326,600","1,613,900","1,522,600","1,508,100","1,363,600","1,025,700","930,900","952,300","911,500","664,100","821,200","779,900","821,800","853,400","962,600","856,800","948,600","1,234,600","1,142,600","1,136,400","1,238,900","1,409,200","1,327,000","1,314,600","1,347,300","1,514,000","1,533,600","1,801,100","1,793,100"
Victoria,tonnes,"94,200","95,600","78,100","135,500","143,700","191,000","164,900","255,800","264,700","237,200","238,200","423,800","283,900","249,600","329,300","362,800","235,400","312,900","347,000","372,300","403,200","415,200","311,500","154,300","193,000","287,900","532,900","414,700","485,700","330,100","69,900","776,300","574,000","637,300","615,600","329,300","635,400","783,300","947,500","568,600","713,700","896,400","107,300","1,592,700","1,392,400","1,027,000","686,900","404,400","1,074,200","1,193,900","971,500","1,028,600","1,289,100","796,200","1,276,000","712,000","1,274,200","691,600","1,464,600","1,141,900","1,302,100","1,159,700","703,500","1,022,000","1,166,000","1,311,100","492,700","1,226,200","368,000","1,277,900","1,137,700","537,100","95,200","806,500","1,332,800","1,278,100","1,335,300","1,563,100","1,394,400","1,251,800","1,369,900","1,461,400","1,319,500","1,118,100","960,200","874,600","1,162,000","1,055,800","1,839,400","1,548,000","1,847,900","2,076,600","2,127,300","1,649,000","1,929,500","770,700","2,469,200","2,273,700","1,004,300","1,797,300","1,249,300","1,405,400","2,091,300","1,578,500","1,779,600","1,496,700","2,998,500","3,249,600","2,538,000","2,466,800","422,300","3,862,500","2,694,300","2,342,400","2,794,600","1,882,400","1,691,400","1,961,400","1,493,000","1,150,400","2,015,100","2,021,900","933,600","1,921,200","2,262,300","1,502,800","1,462,300","2,642,100","3,079,700","2,791,400","890,200","3,145,500","1,927,100","2,908,900","879,300","1,995,300","1,755,700","2,994,900","4,412,400"
Queensland,hectares,100,800,"1,200","1,600","2,100","3,000","3,900","1,500","4,400","1,900","4,200","1,700","4,600","2,100",700,"3,100",200,"3,000","4,200","7,600","12,500","11,500","11,300","5,200","14,000","23,400","18,700","21,300","32,100","35,300",800,"55,900","61,100","48,300","46,400","33,400","32,700","47,400","43,200","17,400","50,600","53,700","51,400","37,900","92,200","51,700","8,800","18,800","71,800","66,600","58,900","20,700","76,500","67,200","23,100","87,000","88,300","82,600","110,200","100,700","101,200","93,900","89,700","97,000","114,800","150,900","178,900","146,500","130,300","117,700","135,500","113,800","134,500","158,800","100,400","187,100","246,000","242,800","226,100","184,000","293,200","234,700","278,200","235,400","145,700","186,400","284,900","276,500","280,300","303,400","371,900","379,400","415,000","386,000","496,700","597,600","723,800","608,700","333,900","556,000","470,600","394,700","488,500","576,200","582,000","606,800","747,000","733,300","727,000","941,100","767,000","1,005,900","921,000","972,700","794,600","646,100","768,200","894,300","1,060,300","491,700","669,200","555,500","400,700","626,500","979,700","1,001,400","1,138,800","1,096,000","884,900","604,400","514,400","789,700","711,000","778,300","638,000","668,900","1,019,900","961,700","905,500"
Queensland,tonnes,100,900,"1,100","2,600","2,700","2,500","3,500",800,"6,100","1,100","4,000","1,200","5,300","1,400",600,"5,000",200,"3,700","5,700","10,700","12,600","11,200","14,800","3,400","16,400","27,500","16,500","16,700","32,500","46,000",200,"66,300","58,500","30,900","30,200","18,900","32,700","42,700","27,800","7,800","53,700","48,100","43,100","11,300","67,000","28,200","2,800","8,500","100,800","82,300","51,100","6,600","75,600","53,700","10,300","102,900","68,400","115,200","138,900","105,100","67,800","118,600","110,900","73,200","54,800","102,000","233,500","184,800","154,700","83,800","136,100","138,300","189,900","222,700","19,200","290,600","389,400","320,400","239,000","180,400","507,600","276,900","448,200","405,900","192,100","181,100","437,800","367,800","299,200","326,900","508,200","605,900","621,000","474,100","971,900","745,700","1,142,400","405,200","119,700","721,800","404,900","525,900","692,100","830,000","794,500","569,200","1,962,200","846,000","485,300","1,482,300","754,400","1,922,400","1,579,100","1,691,000","833,100","718,400","1,550,000","1,420,000","1,973,200","343,700","735,200","555,400","225,100","519,500","1,979,500","1,392,100","1,941,200","1,904,000","1,157,000","901,400","600,900","1,109,700","1,170,400","1,217,600","776,700","953,900","2,016,000","1,346,300","1,523,600"
South Australia,hectares,"110,800","166,200","244,700","363,700","438,600","470,900","528,500","590,100","701,600","715,800","706,800","747,100","786,100","659,700","797,200","789,200","649,500","745,800","677,300","628,300","615,400","701,200","638,200","571,000","685,400","616,200","723,900","737,000","774,300","705,600","706,900","692,500","744,700","711,100","682,500","709,700","685,400","767,200","851,800","886,600","841,600","917,800","1,012,800","1,108,500","1,124,400","953,300","884,800","779,800","877,200","964,800","992,800","978,700","1,011,700","997,800","1,120,400","1,190,400","1,394,400","1,475,400","1,691,800","1,647,700","1,645,800","1,546,700","1,290,300","1,209,800","1,237,700","1,279,500","1,246,600","1,106,700","1,036,200","941,200","813,000","620,700","656,900","876,200","1,019,400","961,100","834,900","767,400","747,800","652,800","624,800","618,500","683,600","651,200","582,100","538,800","569,600","627,100","797,000","902,100","1,050,200","1,134,100","1,103,500","1,110,800","1,198,000","1,159,100","1,517,000","1,299,000","802,300","1,068,600","986,100","1,431,900","1,220,400","958,500","839,100","1,090,000","1,295,300","1,424,200","1,445,300","1,427,500","1,398,000","1,564,000","1,377,600","1,442,500","1,616,300","1,555,600","1,520,000","1,556,600","1,447,800","1,296,800","1,419,500","1,216,000","1,394,700","1,519,100","1,534,900","1,438,500","1,762,100","1,850,000","1,975,600","1,986,600","1,956,500","1,959,500","1,979,200","2,034,900","2,172,500","2,120,800","2,103,900","2,122,400","2,340,600"
South Australia,tonnes,"97,300","97,600","189,300","292,100","159,200","245,700","253,800","387,900","234,100","220,000","200,100","398,500","397,700","140,400","294,700","517,100","168,300","396,500","255,700","175,100","251,300","370,400","211,600","161,300","76,300","109,200","238,800","229,900","306,100","217,900","172,900","359,300","327,000","547,900","475,100","520,500","527,600","683,600","662,200","553,600","584,700","460,700","95,900","928,500","1,244,300","780,400","623,900","407,500","931,800","678,500","782,900","939,800","830,400","778,000","967,200","654,600","729,700","635,000","948,500","1,308,100","1,154,100","962,200","746,500","859,900","781,000","1,181,300","861,500","1,117,200","485,700","829,900","993,500","562,800","251,400","572,100","759,000","884,700","710,900","771,100","841,500","742,600","922,600","827,100","855,800","785,800","855,000","405,700","871,300","324,500","1,262,000","920,800","1,042,800","1,468,000","1,436,600","1,087,400","1,463,800","731,700","2,262,000","1,609,100","789,600","1,406,100","815,000","1,795,000","1,485,600","1,139,000","831,900","510,800","2,085,700","2,349,600","1,650,400","1,694,700","681,200","2,590,300","1,899,600","1,793,100","2,254,900","1,803,000","1,361,100","2,607,200","2,020,800","2,141,000","2,421,200","2,121,100","1,487,400","2,724,000","2,794,900","2,689,200","3,310,400","2,585,500","4,162,400","4,778,500","2,071,800","3,490,400","2,620,800","3,852,800","1,446,000","2,296,000","2,376,100","4,001,300","5,948,700"
Western Australia,hectares,"5,500","9,000","10,800","8,700","7,600","9,200","9,300","10,400","11,200","8,900","9,200","11,600","11,900","11,900","9,700","11,100","12,400","14,400","13,700","10,900","14,200","17,300","8,700","9,400","12,700","15,700","30,400","34,200","30,100","38,300","37,400","55,800","73,700","78,900","101,300","113,200","115,300","181,700","235,500","247,700","321,000","444,000","556,900","701,800","634,000","505,800","463,800","421,600","516,300","540,800","628,400","670,500","755,800","854,700","1,040,500","1,213,500","1,353,100","1,444,000","1,600,900","1,278,400","1,371,700","1,288,200","1,118,700","1,028,200","1,042,200","1,224,800","1,381,100","1,202,100","1,062,500","1,073,800","709,500","634,200","613,400","742,900","981,700","1,117,100","1,160,500","1,171,200","1,289,100","1,252,300","1,213,900","1,167,600","1,205,600","1,169,400","1,118,800","1,196,800","1,332,200","1,504,900","1,627,400","1,772,500","1,944,100","1,878,000","2,084,700","2,488,800","2,568,400","2,690,000","2,952,300","2,747,100","2,361,100","2,041,900","2,437,400","2,977,900","2,809,900","3,171,300","3,313,900","3,608,900","3,705,600","4,120,800","4,333,100","4,593,000","4,865,400","4,746,200","4,651,600","4,147,700","4,260,200","3,312,400","3,297,400","3,476,400","3,632,200","3,229,900","3,669,300","3,852,400","3,848,300","3,892,400","4,263,700","4,204,900","4,515,300","4,556,200","4,460,300","4,349,900","4,457,700","4,917,000","5,118,300","4,752,700","4,037,000","4,258,200","4,541,900","5,005,900","4,639,500"
Western Australia,tonnes,"5,700","6,300","8,600","6,500","6,100","6,800","6,900","10,500","9,000","6,000","6,800","10,200","10,400","9,200","7,800","7,300","8,500","13,700","12,700","7,200","11,100","14,100","4,600","4,900","6,600","11,100","23,700","26,300","21,100","26,000","26,800","51,000","54,800","62,800","75,000","79,600","66,900","152,400","160,400","118,600","249,400","362,600","71,400","496,000","438,000","253,100","240,600","305,300","333,100","378,200","376,900","514,600","649,700","556,800","845,100","989,300","919,100","1,063,000","1,455,300","1,129,400","1,136,700","1,014,700","734,000","634,200","586,100","985,300","1,002,100","1,111,400","572,800","1,020,000","560,300","450,200","433,300","569,300","647,400","938,400","986,000","1,047,200","1,357,300","1,088,000","964,500","1,079,800","933,000","1,448,400","873,100","900,300","1,568,100","1,595,800","1,738,100","1,787,000","1,972,000","1,423,600","1,715,500","2,778,600","2,806,900","2,909,700","3,058,600","1,814,200","2,957,000","2,165,100","2,003,000","4,210,800","3,277,100","4,122,000","3,248,800","2,945,500","4,399,500","3,739,100","3,315,200","4,803,000","5,322,100","4,188,600","6,284,200","4,316,300","5,376,800","3,882,300","5,225,100","4,800,000","5,449,100","4,736,000","5,978,900","6,689,300","5,437,900","6,826,700","7,516,000","7,724,500","8,170,100","9,004,100","5,814,400","7,759,900","4,046,900","11,070,000","8,618,900","9,088,100","5,134,300","5,820,200","8,274,000","8,114,100","5,004,600"
Tasmania,hectares,"26,900","29,700","23,400","17,300","15,800","18,900","19,600","18,300","20,200","20,900","18,900","16,700","13,800","12,200","14,300","16,400","16,500","19,900","13,100","19,300","23,800","22,400","21,100","26,200","30,200","34,800","34,500","26,000","21,000","17,800","16,600","20,000","17,400","16,700","13,300","12,500","11,800","15,000","21,100","15,100","10,200","7,500","9,700","19,700","11,200","8,800","4,800","4,700","11,400","11,300","10,200","5,900","5,200","7,700","9,400","8,500","9,100","6,800","7,800","4,700","8,500","9,800","6,700","4,200","8,600","8,500","4,000","3,000","3,300","2,600","1,700","2,000","1,600","2,000","3,100","3,100","2,800","2,200","2,200","1,500","2,700","3,900","3,000","2,500","1,600","2,400","2,600","3,300","2,800","6,300","6,200","7,100","6,800","5,700","5,200","4,900","7,000","6,000","4,500","4,600","4,300","2,500","1,500","1,600","2,000","1,300","1,400","2,000","1,600","1,300",900,"1,100","2,500","1,800","1,700","1,200",800,800,600,"1,200","1,500","1,600","1,300","1,100","1,900","2,800","4,000","6,300","6,600","5,900","7,400","7,700","7,400","7,900","7,200","7,100","8,600","7,200","8,100"
Tasmania,tonnes,"38,500","34,600","24,400","19,000","20,500","23,000","21,200","28,400","20,400","26,600","25,800","19,900","17,800","14,300","17,200","18,400","22,300","20,600","17,500","25,500","27,700","22,700","23,700","31,700","35,000","45,400","62,700","30,000","30,200","26,200","23,900","20,900","21,600","21,100","17,700","17,500","19,100","21,600","30,500","17,900","17,100","9,500","10,500","27,000","9,500","6,900","5,100","5,800","15,400","15,700","15,500","8,300","6,300","10,700","14,500","20,900","12,300","10,200","10,600","4,900","11,700","15,200","8,300","5,000","15,400","14,200","5,500","2,900","3,800","3,900","2,000","3,300","2,500","1,800","3,800","3,200","4,200","3,400","2,600","2,500","4,200","7,100","4,300","3,500","2,400","4,100","4,400","4,900","4,000","9,300","11,300","13,000","9,800","10,000","10,400","8,500","11,100","9,500","7,600","8,300","7,700","3,500","2,300","1,700","3,900","1,500","2,900","3,700","2,500","2,300","1,500","2,800","4,400","4,000","4,700","3,800","2,200","2,700","2,400","3,200","5,500","5,300","2,800","4,100","7,500","11,700","17,500","19,800","25,600","25,300","25,300","26,100","30,500","34,000","17,700","26,800","34,900","27,300","31,900"
Northern Territory,hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,200,0,0,0
Northern Territory,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,100,0,0,0
Australian Capital Territory,hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,300,100,200,,,,,,0,0,0,,,0,0,,,500,100,600,600,200,100,100,100,100,200,300
Australian Capital Territory,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,100,300,,,,,,0,100,100,,,0,0,,,"1,800",100,"1,800","1,900",0,0,0,0,100,300,400
